INFO 2023-10-30 01:02:56,940 Watching for file changes with StatReloader
INFO 2023-10-30 01:25:58,832 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 200 5253
INFO 2023-10-30 01:25:58,833 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 200 88147
INFO 2023-10-30 01:25:58,835 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42395
INFO 2023-10-30 01:25:58,836 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80704
INFO 2023-10-30 01:25:58,837 "GET /static/dist/js/demo.js HTTP/1.1" 200 13042
INFO 2023-10-30 01:25:58,838 "GET /static/dist/js/adminlte.js HTTP/1.1" 200 59416
INFO 2023-10-30 01:25:58,843 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 200 686718
INFO 2023-10-30 01:25:58,851 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 200 2042927
INFO 2023-10-30 01:25:58,905 "GET /static/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13584
INFO 2023-10-30 01:25:58,905 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 79444
WARNING 2023-10-30 01:25:59,051 Not Found: /favicon.ico
WARNING 2023-10-30 01:25:59,051 "GET /favicon.ico HTTP/1.1" 404 6308
INFO 2023-10-30 01:25:59,116 "GET /site-config HTTP/1.1" 200 10521
INFO 2023-10-30 01:25:59,134 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 58582
INFO 2023-10-30 01:25:59,134 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 200 6454
INFO 2023-10-30 01:25:59,135 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 19736
INFO 2023-10-30 01:25:59,136 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 200 25807
INFO 2023-10-30 01:25:59,139 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 200 88147
INFO 2023-10-30 01:25:59,142 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 200 13881
INFO 2023-10-30 01:25:59,142 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 200 5253
INFO 2023-10-30 01:25:59,145 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42395
INFO 2023-10-30 01:25:59,146 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80704
INFO 2023-10-30 01:25:59,147 "GET /static/dist/js/demo.js HTTP/1.1" 200 13042
INFO 2023-10-30 01:25:59,147 "GET /static/dist/js/adminlte.js HTTP/1.1" 200 59416
INFO 2023-10-30 01:25:59,152 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 200 686718
INFO 2023-10-30 01:25:59,164 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 200 2042927
INFO 2023-10-30 01:25:59,214 "GET /static/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13584
INFO 2023-10-30 01:25:59,214 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 79444
WARNING 2023-10-30 01:25:59,320 Not Found: /favicon.ico
WARNING 2023-10-30 01:25:59,320 "GET /favicon.ico HTTP/1.1" 404 6308
INFO 2023-10-30 01:25:59,357 "GET /site-config HTTP/1.1" 200 10521
INFO 2023-10-30 01:25:59,374 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 200 6454
INFO 2023-10-30 01:25:59,376 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 19736
INFO 2023-10-30 01:25:59,376 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 58582
INFO 2023-10-30 01:25:59,376 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 200 25807
INFO 2023-10-30 01:25:59,379 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 200 13881
INFO 2023-10-30 01:25:59,382 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 200 88147
INFO 2023-10-30 01:25:59,382 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 200 5253
INFO 2023-10-30 01:25:59,386 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42395
INFO 2023-10-30 01:25:59,387 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80704
INFO 2023-10-30 01:25:59,387 "GET /static/dist/js/demo.js HTTP/1.1" 200 13042
INFO 2023-10-30 01:25:59,388 "GET /static/dist/js/adminlte.js HTTP/1.1" 200 59416
INFO 2023-10-30 01:25:59,393 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 200 686718
INFO 2023-10-30 01:25:59,400 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 200 2042927
INFO 2023-10-30 01:25:59,451 "GET /static/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13584
INFO 2023-10-30 01:25:59,452 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 79444
INFO 2023-10-30 01:25:59,542 "GET /site-config HTTP/1.1" 200 10521
INFO 2023-10-30 01:25:59,564 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 58582
INFO 2023-10-30 01:25:59,565 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 200 6454
INFO 2023-10-30 01:25:59,567 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 19736
INFO 2023-10-30 01:25:59,569 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 200 25807
INFO 2023-10-30 01:25:59,571 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 200 5253
INFO 2023-10-30 01:25:59,573 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 200 13881
INFO 2023-10-30 01:25:59,574 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 200 88147
INFO 2023-10-30 01:25:59,577 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42395
